date,home_team,away_team,home_score,away_score,tournament,country,neutral,resultado,home_code,away_code
2018-06-20,Uruguay,Saudi Arabia,1,0,World Cup,Russia,True,1,70,50
2018-06-20,Portugal,Morocco,1,0,World Cup,Russia,True,1,46,36
2018-06-21,Australia,Denmark,1,1,World Cup,Russia,True,0,3,19
2018-06-21,Croatia,Argentina,3,0,World Cup,Russia,True,1,16,2
2018-06-21,France,Peru,1,0,World Cup,Russia,True,1,23,44
2018-06-22,Nigeria,Iceland,2,0,World Cup,Russia,True,1,39,28
2018-06-22,Brazil,Costa Rica,2,0,World Cup,Russia,True,1,8,15
2018-06-22,Switzerland,Serbia,2,1,World Cup,Russia,True,1,62,53
2018-06-23,Mexico,South Korea,2,1,World Cup,Russia,True,1,35,58
2018-06-23,Belgium,Tunisia,5,2,World Cup,Russia,True,1,5,65
2018-06-23,Germany,Sweden,2,1,World Cup,Russia,True,1,24,61
2018-06-24,Japan,Senegal,2,2,World Cup,Russia,True,0,34,52
2018-06-24,England,Panama,6,1,World Cup,Russia,True,1,22,42
2018-06-24,Colombia,Poland,3,0,World Cup,Russia,True,1,14,45
2018-06-25,Portugal,Iran,1,1,World Cup,Russia,True,0,46,29
2018-06-25,Saudi Arabia,Egypt,2,1,World Cup,Russia,True,1,50,21
2018-06-25,Morocco,Spain,2,2,World Cup,Russia,True,0,36,60
2018-06-25,Russia,Uruguay,0,3,World Cup,Russia,False,2,49,70
2018-06-26,Peru,Australia,2,0,World Cup,Russia,True,1,44,3
2018-06-26,Argentina,Nigeria,2,1,World Cup,Russia,True,1,2,39
2018-06-26,Denmark,France,0,0,World Cup,Russia,True,0,19,23
2018-06-26,Croatia,Iceland,2,1,World Cup,Russia,True,1,16,28
2018-06-27,South Korea,Germany,2,0,World Cup,Russia,True,1,58,24
2018-06-27,Costa Rica,Switzerland,2,2,World Cup,Russia,True,0,15,62
2018-06-27,Sweden,Mexico,3,0,World Cup,Russia,True,1,61,35
2018-06-27,Brazil,Serbia,2,0,World Cup,Russia,True,1,8,53
2018-06-28,Poland,Japan,1,0,World Cup,Russia,True,1,45,34
2018-06-28,Tunisia,Panama,2,1,World Cup,Russia,True,1,65,42
2018-06-28,Colombia,Senegal,1,0,World Cup,Russia,True,1,14,52
2018-06-28,Belgium,England,1,0,World Cup,Russia,True,1,5,22
2018-06-30,Uruguay,Portugal,2,1,World Cup,Russia,True,1,70,46
2018-06-30,France,Argentina,4,3,World Cup,Russia,True,1,23,2
2018-07-01,Russia,Spain,1,1,World Cup,Russia,False,0,49,60
2018-07-01,Croatia,Denmark,1,1,World Cup,Russia,True,0,16,19
2018-07-02,Belgium,Japan,3,2,World Cup,Russia,True,1,5,34
2018-07-02,Brazil,Mexico,2,0,World Cup,Russia,True,1,8,35
2018-07-03,Colombia,England,1,1,World Cup,Russia,True,0,14,22
2018-07-03,Sweden,Switzerland,1,0,World Cup,Russia,True,1,61,62
2018-07-06,France,Uruguay,2,0,World Cup,Russia,True,1,23,70
2018-07-06,Belgium,Brazil,2,1,World Cup,Russia,True,1,5,8
2018-07-07,England,Sweden,2,0,World Cup,Russia,True,1,22,61
2018-07-07,Russia,Croatia,2,2,World Cup,Russia,False,0,49,16
2018-07-10,France,Belgium,1,0,World Cup,Russia,True,1,23,5
2018-07-11,Croatia,England,2,1,World Cup,Russia,True,1,16,22
2018-07-14,Belgium,England,2,0,World Cup,Russia,True,1,5,22
2018-07-15,France,Croatia,4,2,World Cup,Russia,True,1,23,16
2022-11-20,Qatar,Ecuador,0,2,World Cup,Qatar,False,2,47,20
2022-11-21,England,Iran,6,2,World Cup,Qatar,True,1,22,29
2022-11-21,Netherlands,Senegal,2,0,World Cup,Qatar,True,1,37,52
2022-11-21,United States,Wales,1,1,World Cup,Qatar,True,0,69,71
2022-11-22,France,Australia,4,1,World Cup,Qatar,True,1,23,3
2022-11-22,Saudi Arabia,Argentina,2,1,World Cup,Qatar,True,1,50,2
2022-11-22,Denmark,Tunisia,0,0,World Cup,Qatar,True,0,19,65
2022-11-22,Mexico,Poland,0,0,World Cup,Qatar,True,0,35,45
2022-11-23,Japan,Germany,2,1,World Cup,Qatar,True,1,34,24
2022-11-23,Croatia,Morocco,0,0,World Cup,Qatar,True,0,16,36
2022-11-23,Belgium,Canada,1,0,World Cup,Qatar,True,1,5,11
2022-11-23,Spain,Costa Rica,7,0,World Cup,Qatar,True,1,60,15
2022-11-24,South Korea,Uruguay,0,0,World Cup,Qatar,True,0,58,70
2022-11-24,Portugal,Ghana,3,2,World Cup,Qatar,True,1,46,25
2022-11-24,Switzerland,Cameroon,1,0,World Cup,Qatar,True,1,62,10
2022-11-24,Brazil,Serbia,2,0,World Cup,Qatar,True,1,8,53
2022-11-25,Iran,Wales,2,0,World Cup,Qatar,True,1,29,71
2022-11-25,Qatar,Senegal,1,3,World Cup,Qatar,False,2,47,52
2022-11-25,England,United States,0,0,World Cup,Qatar,True,0,22,69
2022-11-25,Ecuador,Netherlands,1,1,World Cup,Qatar,True,0,20,37
2022-11-26,Australia,Tunisia,1,0,World Cup,Qatar,True,1,3,65
2022-11-26,Poland,Saudi Arabia,2,0,World Cup,Qatar,True,1,45,50
2022-11-26,Argentina,Mexico,2,0,World Cup,Qatar,True,1,2,35
2022-11-26,France,Denmark,2,1,World Cup,Qatar,True,1,23,19
2022-11-27,Costa Rica,Japan,1,0,World Cup,Qatar,True,1,15,34
2022-11-27,Morocco,Belgium,2,0,World Cup,Qatar,True,1,36,5
2022-11-27,Croatia,Canada,4,1,World Cup,Qatar,True,1,16,11
2022-11-27,Germany,Spain,1,1,World Cup,Qatar,True,0,24,60
2022-11-28,Ghana,South Korea,3,2,World Cup,Qatar,True,1,25,58
2022-11-28,Cameroon,Serbia,3,3,World Cup,Qatar,True,0,10,53
2022-11-28,Portugal,Uruguay,2,0,World Cup,Qatar,True,1,46,70
2022-11-28,Brazil,Switzerland,1,0,World Cup,Qatar,True,1,8,62
2022-11-29,United States,Iran,1,0,World Cup,Qatar,True,1,69,29
2022-11-29,Qatar,Netherlands,0,2,World Cup,Qatar,False,2,47,37
2022-11-29,Senegal,Ecuador,2,1,World Cup,Qatar,True,1,52,20
2022-11-29,England,Wales,3,0,World Cup,Qatar,True,1,22,71
2022-11-30,Australia,Denmark,1,0,World Cup,Qatar,True,1,3,19
2022-11-30,Mexico,Saudi Arabia,2,1,World Cup,Qatar,True,1,35,50
2022-11-30,Tunisia,France,1,0,World Cup,Qatar,True,1,65,23
2022-11-30,Argentina,Poland,2,0,World Cup,Qatar,True,1,2,45
2022-12-01,Japan,Spain,2,1,World Cup,Qatar,True,1,34,60
2022-12-01,Morocco,Canada,2,1,World Cup,Qatar,True,1,36,11
2022-12-01,Germany,Costa Rica,4,2,World Cup,Qatar,True,1,24,15
2022-12-01,Belgium,Croatia,0,0,World Cup,Qatar,True,0,5,16
2022-12-02,South Korea,Portugal,2,1,World Cup,Qatar,True,1,58,46
2022-12-02,Uruguay,Ghana,2,0,World Cup,Qatar,True,1,70,25
2022-12-02,Cameroon,Brazil,1,0,World Cup,Qatar,True,1,10,8
2022-12-02,Switzerland,Serbia,3,2,World Cup,Qatar,True,1,62,53
2022-12-03,Argentina,Australia,2,1,World Cup,Qatar,True,1,2,3
2022-12-03,Netherlands,United States,3,1,World Cup,Qatar,True,1,37,69
2022-12-04,England,Senegal,3,0,World Cup,Qatar,True,1,22,52
2022-12-04,France,Poland,3,1,World Cup,Qatar,True,1,23,45
2022-12-05,Croatia,Japan,1,1,World Cup,Qatar,True,0,16,34
2022-12-05,Brazil,South Korea,4,1,World Cup,Qatar,True,1,8,58
2022-12-06,Morocco,Spain,0,0,World Cup,Qatar,True,0,36,60
2022-12-06,Portugal,Switzerland,6,1,World Cup,Qatar,True,1,46,62
2022-12-09,Argentina,Netherlands,2,2,World Cup,Qatar,True,0,2,37
2022-12-09,Brazil,Croatia,1,1,World Cup,Qatar,True,0,8,16
2022-12-10,Morocco,Portugal,1,0,World Cup,Qatar,True,1,36,46
2022-12-10,France,England,2,1,World Cup,Qatar,True,1,23,22
2022-12-13,Argentina,Croatia,3,0,World Cup,Qatar,True,1,2,16
2022-12-14,France,Morocco,2,0,World Cup,Qatar,True,1,23,36
2022-12-17,Croatia,Morocco,2,1,World Cup,Qatar,True,1,16,36
2022-12-18,Argentina,France,3,3,World Cup,Qatar,True,0,2,23
